Name,Symbol,ID,RealName
01coin,zoc,01coin,01coin
0.5x long algorand token,algohalf,0-5x-long-algorand-token,0.5X Long Algorand Token
0.5x long altcoin index token,althalf,0-5x-long-altcoin-index-token,0.5X Long Altcoin Index Token
0.5x long balancer token,balhalf,0-5x-long-balancer-token,0.5X Long Balancer Token
0.5x long bilira token,trybhalf,0-5x-long-bilibra-token,0.5X Long BiLira Token
0.5x long bitcoin cash token,bchhalf,0-5x-long-bitcoin-cash-token,0.5X Long Bitcoin Cash Token
0.5x long bitcoin sv token,bsvhalf,0-5x-long-bitcoin-sv-token,0.5X Long Bitcoin SV Token
0.5x long bitcoin token,half,0-5x-long-bitcoin-token,0.5X Long Bitcoin Token
0.5x long bitmax token token,btmxhalf,0-5x-long-bitmax-token-token,0.5X Long BitMax Token Token
0.5x long bnb token,bnbhalf,0-5x-long-bnb-token,0.5X Long BNB Token
0.5x long cardano token,adahalf,0-5x-long-cardano-token,0.5X Long Cardano Token
0.5x long chainlink token,linkhalf,0-5x-long-chainlink-token,0.5X Long Chainlink Token
0.5x long compound usdt token,cusdthalf,0-5x-long-compound-usdt-token,0.5X Long Compound USDT Token
0.5x long cosmos token,atomhalf,0-5x-long-cosmos-token,0.5X Long Cosmos Token
0.5x long defi index token,defihalf,0-5x-long-defi-index-token,0.5X Long DeFi Index Token
0.5x long dogecoin token,dogehalf,0-5x-long-dogecoin-token,0.5X Long Dogecoin Token
0.5x long dragon index token,drgnhalf,0-5x-long-dragon-index-token,0.5X Long Dragon Index Token
0.5x long exchange token index token,exchhalf,0-5x-long-echange-token-index-token,0.5X Long Exchange Token Index Token
0.5x long eos token,eoshalf,0-5x-long-eos-token,0.5X Long EOS Token
0.5x long ethereum classic token,etchalf,0-5x-long-ethereum-classic-token,0.5X Long Ethereum Classic Token
0.5x long ethereum token,ethhalf,0-5x-long-ethereum-token,0.5X Long Ethereum Token
0.5x long huobi token token,hthalf,0-5x-long-huobi-token-token,0.5X Long Huobi Token Token
0.5x long kyber network token,knchalf,0-5x-long-kyber-network-token,0.5X Long Kyber Network Token
0.5x long leo token,leohalf,0-5x-long-leo-token,0.5X Long LEO Token
0.5x long litecoin token,ltchalf,0-5x-long-litecoin-token,0.5X Long Litecoin Token
0.5x long matic token,matichalf,0-5x-long-matic-token,0.5X Long Matic Token
0.5x long midcap index token,midhalf,0-5x-long-midcap-index-token,0.5X Long Midcap Index Token
0.5x long okb token,OKBHALF,0-5x-long-okb-token,0.5X Long OKB Token
0.5x long pax gold token,PAXGHALF,0-5x-long-pax-gold-token,0.5X Long PAX Gold Token
0.5x long privacy index token,privhalf,0-5x-long-privacy-index-token,0.5X Long Privacy Index Token
0.5x long shitcoin index token,halfshit,0-5x-long-shitcoin-index-token,0.5X Long Shitcoin Index Token
0.5x long swipe token,sxphalf,0-5x-long-swipe-token,0.5X Long Swipe Token
0.5x long tether gold token,xauthalf,0-5x-long-tether-gold-token,0.5X Long Tether Gold Token
0.5x long tether token,usdthalf,0-5x-long-tether-token,0.5X Long Tether Token
0.5x long tezos token,xtzhalf,0-5x-long-tezos-token,0.5X Long Tezos Token
0.5x long theta network token,thetahalf,0-5x-long-theta-network-token,0.5X Long Theta Network Token
0.5x long tomochain token,tomohalf,0-5x-long-tomochain-token,0.5X Long TomoChain Token
0.5x long trx token,trxhalf,0-5x-long-trx-token,0.5X Long TRX Token
0.5x long xrp token,xrphalf,0-5x-long-xrp-token,0.5X Long XRP Token
0cash,zch,0cash,0cash
0chain,zcn,0chain,0chain
0x,zrx,0x,0x
0xcert,zxc,0xcert,0xcert
0xmonero,0xmr,0xmonero,0xMonero
100 waves eth/btc set,100wratio,100-waves-eth-btc-set,100 Waves ETH/BTC Set
100 waves eth/usd ether hoard set,100weth,100-waves-ethusd-ether-hoard-set,100 Waves ETH/USD Ether Hoard Set
100 waves eth/usd yield set,100w,100-waves-eth-usd-yield-set,100 Waves ETH/USD Yield Set
12ships,TSHP,12ships,12Ships
elite,1337,1337,Elite
realtoken 15634 liberal st detroit mi,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,15634-liberal-st-detroit-mi-48205,RealToken 15634 Liberal St Detroit MI
realtoken 18900 mansfield st detroit mi,REALTOKEN-18900-MANSFIELD-ST-DETROIT-MI,18900-mansfield-st-detroit-mi-48235,RealToken 18900 Mansfield St Detroit MI
1ai,1ai,1ai,1AI
1clicktoken,1ct,1clicktoken,1ClickToken
1inch,1inch,1inch,1inch
1irstgold,1gold,1irstgold,1irstGold
1million token,1mt,1million-token,1Million Token
1world,1wo,1world,1World
bitcoin volatility token,bvol,1x-long-btc-implied-volatility-token,Bitcoin Volatility Token
1x short algorand token,algohedge,1x-short-algorand-token,1X Short Algorand Token
1x short bitcoin cash token,bchhedge,1x-short-bitcoin-cash-token,1X Short Bitcoin Cash Token
1x short bitcoin token,hedge,1x-short-bitcoin-token,1X Short Bitcoin Token
1x short bitmax token token,btmxhedge,1x-short-bitmax-token-token,1X Short BitMax Token Token
1x short bnb token,bnbhedge,1x-short-bnb-token,1X Short BNB Token
inverse bitcoin volatility token,ibvol,1x-short-btc-implied-volatility,Inverse Bitcoin Volatility Token
1x short cardano token,adahedge,1x-short-cardano-token,1X Short Cardano Token
1x short chainlink token,LINKHEDGE,1x-short-chainlink-token,1X Short Chainlink Token
1x short compound token token,comphedge,1x-short-compound-token-token,1X Short Compound Token Token
1x short compound usdt token,cusdthedge,1x-short-compound-usdt-token,1X Short Compound USDT Token
1x short cosmos token,atomhedge,1x-short-cosmos-token,1X Short Cosmos Token
1x short defi index token,defihedge,1x-short-defi-index-token,1X Short DeFi Index Token
1x short dogecoin token,dogehedge,1x-short-dogecoin-token,1X Short Dogecoin Token
1x short eos token,eoshedge,1x-short-eos-token,1X Short EOS Token
1x short ethereum classic token,etchedge,1x-short-ethereum-classic-token,1X Short Ethereum Classic Token
1x short ethereum token,ethhedge,1x-short-ethereum-token,1X Short Ethereum Token
1x short exchange token index token,exchhedge,1x-short-exchange-token-index-token,1X Short Exchange Token Index Token
1x short huobi token token,hthedge,1x-short-huobi-token-token,1X Short Huobi Token Token
1x short kyber network token,knchedge,1x-short-kyber-network-token,1X Short Kyber Network Token
1x short leo token,leohedge,1x-short-leo-token,1X Short LEO Token
1x short litecoin token,ltchedge,1x-short-litecoin-token,1X Short Litecoin Token
1x short matic token,matichedge,1x-short-matic-token,1X Short Matic Token
1x short okb token,okbhedge,1x-short-okb-token,1X Short OKB Token
1x short privacy index token,privhedge,1x-short-privacy-index-token,1X Short Privacy Index Token
1x short shitcoin index token,hedgeshit,1x-short-shitcoin-index-token,1X Short Shitcoin Index Token
1x short swipe token,sxphedge,1x-short-swipe-token,1X Short Swipe Token
1x short tether gold token,xauthedge,1x-short-tether-gold-token,1X Short Tether Gold Token
1x short tezos token,xtzhedge,1x-short-tezos-token,1X Short Tezos Token
1x short theta network token,thetahedge,1x-short-theta-network-token,1X Short Theta Network Token
1x short tomochain token,tomohedge,1x-short-tomochain-token,1X Short TomoChain Token
1x short trx token,trxhedge,1x-short-trx-token,1X Short TRX Token
1x short vechain token,vethedge,1x-short-vechain-token,1X Short VeChain Token
1x short xrp token,xrphedge,1x-short-xrp-token,1X Short XRP Token
2+2=4+4=8,2248,2-2-4-4-8,2+2=4+4=8
2acoin,arms,2acoin,2ACoin
2based finance,2based,2based-finance,2Based Finance
2give,2give,2give,2GIVE
2key.network,2key,2key,2key.network
2x2,2x2,2x2,2X2
300fit,fit,300fit,300FIT
